                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8244,                 4.8925,                 2.0076,                0.00344,                0.98507,                0.39836,                0.13632,                 1.4838,                 4.4541,                 1.8235,                0.00062,                0.00062,                0.00062
                      2,                  1.579,                 4.1705,                 1.7026,                0.00349,                      1,                0.55578,                 0.2654,                 1.3558,                 4.1977,                 1.7389,              0.0011976,              0.0011976,              0.0011976
                      3,                 1.6588,                 3.9966,                 1.9341,                0.60117,                0.38253,                0.47395,                0.18988,                 1.3922,                 4.0036,                 1.8967,              0.0017119,              0.0017119,              0.0017119
                      4,                 1.7721,                 4.5503,                 2.0676,                0.39721,                0.23881,                0.19801,                0.06684,                 1.5816,                 4.7639,                  2.189,               0.001703,               0.001703,               0.001703
                      5,                 1.5814,                 4.2805,                 1.8533,                0.44012,                0.38806,                0.36606,                0.17615,                 1.7467,                 4.3975,                 2.0955,               0.001604,               0.001604,               0.001604
                      6,                  1.747,                 4.0997,                 2.0368,                0.66964,                0.44776,                0.52293,                0.25627,                 1.5967,                 4.3812,                 2.1219,               0.001505,               0.001505,               0.001505
                      7,                 1.7093,                 3.8758,                  1.938,                0.61583,                0.56716,                0.59059,                0.27481,                  1.731,                 4.6257,                 2.4244,               0.001406,               0.001406,               0.001406
                      8,                 1.6148,                 3.5876,                 1.8695,                 0.7647,                0.53363,                0.64115,                0.31865,                 1.6574,                  4.625,                 2.0488,               0.001307,               0.001307,               0.001307
                      9,                 1.5885,                 3.5766,                 1.8621,                0.63228,                0.65672,                  0.646,                0.30124,                 1.6343,                  5.573,                 2.0178,               0.001208,               0.001208,               0.001208
                     10,                  1.482,                 3.0013,                 1.7402,                0.70765,                0.64179,                0.71789,                0.36556,                 1.5032,                 3.9779,                 1.8781,               0.001109,               0.001109,               0.001109
                     11,                 1.6701,                  4.911,                 2.0252,                 0.8421,                0.71639,                0.80819,                0.43242,                 1.4669,                 3.2768,                 1.8591,                0.00101,                0.00101,                0.00101
                     12,                 1.4547,                 4.4065,                 1.7779,                 0.9027,                0.74627,                0.87761,                0.48875,                 1.4156,                 3.1407,                 1.7861,               0.000911,               0.000911,               0.000911
                     13,                 1.5932,                 4.2881,                 1.8206,                0.84426,                0.79104,                 0.8913,                0.48809,                 1.4431,                 3.0945,                 1.8617,               0.000812,               0.000812,               0.000812
                     14,                 1.4911,                  4.201,                 1.7246,                0.85405,                0.87341,                0.93303,                  0.557,                 1.2795,                  2.984,                 1.7022,               0.000713,               0.000713,               0.000713
                     15,                 1.3787,                 3.8446,                 1.7609,                0.87417,                 0.9333,                  0.947,                0.57506,                 1.2996,                 2.8451,                 1.6837,               0.000614,               0.000614,               0.000614
                     16,                 1.3939,                 3.8211,                 1.6696,                0.88217,                0.91045,                0.94889,                0.57145,                 1.3246,                 2.7733,                 1.6634,               0.000515,               0.000515,               0.000515
                     17,                 1.3784,                 3.6852,                 1.6826,                0.88652,                0.86567,                0.94881,                 0.5878,                 1.2955,                 2.7832,                 1.6628,               0.000416,               0.000416,               0.000416
                     18,                 1.3551,                 3.6966,                 1.7174,                0.97948,                0.79104,                0.94399,                0.60455,                 1.2822,                 2.7644,                 1.6586,               0.000317,               0.000317,               0.000317
                     19,                 1.3096,                 3.7417,                 1.6201,                0.96094,                0.83582,                0.95266,                0.60638,                 1.2776,                  2.718,                 1.6511,               0.000218,               0.000218,               0.000218
                     20,                  1.319,                 3.7337,                 1.6222,                0.93993,                0.86567,                0.95243,                0.62586,                 1.2458,                 2.7213,                 1.6127,               0.000119,               0.000119,               0.000119
